Property Name,Latitude,Longitude,Area (hectares),Solar Energy,Number of Cows,Owner Name,Veterinarian,Milk Collection (liters/day)
Property 108,-14.09683,-49.86199,47.37,Yes,89,Shirley Silverman,Albert Brown,1780
Property 109,-11.68361,-41.31471,106.31,No,0,Kathleen Mckeithan,Jeanine Artrip,0
Property 110,-17.77694,-51.12237,950.9,Yes,12,John Trotter,Mitchel Hench,240
Property 111,-12.46247,-46.60541,322.43,Yes,19,Donald Lopez,Hedwig Brennan,380
Property 112,-14.93582,-46.42875,576.62,Yes,87,Sandra Rogers,Albert Brown,1740
Property 113,-12.9994,-41.10566,55.25,No,97,Margaret Grogan,Jeanine Artrip,1940
Property 114,-15.9549,-50.62382,758.09,No,30,Robert Doyle,Jose Salafia,600
Property 115,-12.31379,-46.269,215.09,Yes,87,Elizabeth Knowles,Hedwig Brennan,1740
Property 116,-14.43084,-46.59878,638.3,Yes,57,Veronica Hanson,Albert Brown,1140
Property 117,-17.21891,-52.06918,926.91,No,33,Yu Marugg,Mitchel Hench,660
Property 118,-13.34488,-41.56172,784.38,Yes,52,Cassie Coffey,Jeanine Artrip,1040
Property 119,-15.27234,-41.69398,228.74,No,14,Jordan Stewart,Kaitlin Mcgowan,280
Property 120,-13.51521,-41.65438,901.85,Yes,35,Edward Foster,Jeanine Artrip,700
Property 121,-11.3676,-46.71814,364.9,No,92,Craig Abrew,Cindy Lopez,1840
Property 122,-16.11764,-48.64708,179.46,Yes,19,Alvin Paredes,Jose Salafia,380
Property 123,-14.09566,-47.3366,362.15,No,79,Tammy Basso,Albert Brown,1580
Property 124,-16.26024,-47.37157,375.06,Yes,21,Cecilia Lantz,Jose Salafia,420
Property 125,-13.87332,-44.58796,607.75,No,60,Martha Park,Hedwig Brennan,1200
Property 126,-12.11646,-46.91092,971.62,No,97,Amy Toman,Hedwig Brennan,1940
Property 127,-17.10485,-50.71807,706.91,No,95,Andrew Woodard,Mitchel Hench,1900
Property 128,-15.46605,-44.49587,115.41,Yes,91,Billy Moore,Kaitlin Mcgowan,1820
Property 129,-16.39188,-43.28276,600.64,No,41,Roy York,Kaitlin Mcgowan,820
Property 130,-16.00617,-44.76494,242.37,No,83,Johnny Davis,Kaitlin Mcgowan,1660
Property 131,-11.3851,-46.14984,292.17,Yes,49,Sam Langley,Hedwig Brennan,980
Property 132,-15.04282,-45.93864,826.05,Yes,19,Diana Piro,Kaitlin Mcgowan,380
Property 133,-11.46157,-44.76059,249.31,No,68,Richard Evans,Hedwig Brennan,1360
Property 134,-12.67469,-50.62422,112.26,No,46,Rose Peoples,Albert Brown,920
Property 135,-12.3006,-46.93779,743.66,No,81,Stephanie Vaughn,Hedwig Brennan,1620
Property 136,-15.89268,-46.64089,685.47,Yes,25,Lyle Mccoy,Jose Salafia,500
Property 137,-12.46759,-42.55829,373.03,Yes,18,Mike Brantley,Jeanine Artrip,360
Property 138,-12.93117,-47.69756,233.06,No,25,Roy Kulikowski,Albert Brown,500
Property 139,-14.48811,-51.33419,902.18,Yes,59,Elizabeth Lyons,Albert Brown,1180
Property 140,-12.96397,-52.33612,228.02,No,46,Matthew Oneill,Lucas Turner,920
Property 141,-13.62842,-46.65607,188.38,No,6,John Worsham,Albert Brown,120
Property 142,-12.20184,-51.88433,362.87,Yes,9,Donna Kemerer,Lucas Turner,180
Property 143,-12.10424,-46.16908,508.35,Yes,5,Thelma Miller,Hedwig Brennan,100
Property 144,-15.46227,-48.13838,540.66,Yes,82,Jeffrey Gendron,Jose Salafia,1640
Property 145,-17.61944,-44.59547,715.76,No,36,Josephine Senn,Kaitlin Mcgowan,720
Property 146,-15.21326,-47.78641,593.31,No,72,Fernando Maymon,Jose Salafia,1440
Property 147,-12.99659,-45.15829,244.91,No,39,Edward Allen,Hedwig Brennan,780
Property 148,-13.36799,-49.65353,19.69,No,19,Louise Briones,Albert Brown,380
Property 149,-15.87487,-52.83653,434.74,Yes,70,James Grant,Joann Sandi,1400
Property 150,-10.43882,-47.35103,255.8,No,12,Martin Kazarian,Cindy Lopez,240
